shot_id,hero,hero_label,camera,lens_mm,focus_target,frame_start,frame_end,duration_frames,duration_sec,camera_language,emotional_purpose,render_priority,parent_animatic,lighting_preset
SH010_SISTER_CALL,yes,sister calling Oino,CAM_ATTIC_DOMESTIC_DOWN,35,Oino eyeline toward downstairs / attic door edge,1,200,200,8.333,attic,Invitation arrives; domestic closeness with a glimpse toward the sister she will refuse.,HERO,SH010_CALL_TO_DINNER,ATTIC_DUST
SH010B_ATTIC_DOOR_CLOSES,no,,CAM_ATTIC_DOOR,35,attic door closing; hand on latch,201,342,142,5.917,attic,Refusal completed — doorway excludes sister.,HIGH,SH010_CALL_TO_DINNER,ATTIC_DUST
SH020_FATHERS_RECORDING,yes,father's unfinished recording,CAM_ATTIC_HAND_TAPE,50,Oino's hands on playback / unfinished tape,343,519,177,7.375,attic,"Need crystallizes in the unfinished melody — intimate, not spectacular.",HERO,SH020_FATHERS_TAPE,ATTIC_DUST
SH030_ARCHIVE_BOX_OINO,yes,archive box marked OINO,CAM_ARCHIVE_LATERAL_BOX,40,box label OINO; partial hand entering frame,520,580,61,2.542,archive,Name inheritance as object — discovery without classroom diagram.,HERO,SH030_ARCHIVE_DISCOVERY,OINO_ARCHIVE
SH041_ANCESTOR_IGNORES_DINNER,yes,ancestor ignoring the call to dinner,CAM_ARCHIVE_DINNER_CLIP,28,ancestor adjusting camera; dinner call off-screen,560,720,161,6.708,archive,"Embarrassing ordinary refusal — implication, not sermon.",HERO,SH030_ARCHIVE_DISCOVERY,OINO_ARCHIVE
SH031_FAMILY_LINE_DOCUMENT,yes,family-line document,CAM_ARCHIVE_FRAMES_WITHIN,50,damaged family-line document; partial faces at edge,581,680,100,4.167,archive,"Lineage as worn paper — artistic adaptation, not universal claim.",HERO,SH030_ARCHIVE_DISCOVERY,OINO_ARCHIVE
SH040_ANCESTOR_SLEEVE,yes,ancestor repairing the sleeve,CAM_STEAM_LOW_HANDS,35,hands and cloth; machinery soft above,820,900,81,3.375,steam,Care as ordinary labour — watcher still able to mend.,HERO,SH040_MELODY_OPENS_HISTORY,STEAM_SOOT
SH050_FACTORY_GATE,yes,first factory-gate transition,CAM_STEAM_GATE_LOW,24,workers at threshold; gate/machinery towering,1131,1220,90,3.75,steam,"Doorway becomes factory gate — history through bodies, not labels.",HERO,SH050_CHANGING_WORLD,STEAM_SOOT
SH051_ELECTRIC_HOUSEHOLD_TIME,yes,electricity returning time to a household,CAM_ELECTRIC_WIDE_RELIEF,28,household room — light returns; empty chair / absence held in same frame,1300,1420,121,5.042,electric,"Benefit and cost together: relief of light, absence still present.",HERO,SH050_CHANGING_WORLD,ELECTRIC_WARMTH
SH060_SYNTHETIC_VOICE,yes,person using a synthetic voice,CAM_DIGITAL_ASSISTIVE,40,living speaker and device; face and interface share frame,1700,1820,121,5.042,digital,Care through technology — not memorial ghost; living person uses the tool.,HERO,SH060_CARE_AND_HARM,DIGITAL_COLD
SH061_OINO_SEES_OWN_RECORDING,yes,Oino seeing her own recording,CAM_DIGITAL_SELF_REFLECTION,50,Oino's reflection in screen / black glass watching herself,1850,1990,141,5.875,digital,She becomes watcher of her own controlled archive — shadow foreshadow without scare.,HERO,SH060_CARE_AND_HARM,DIGITAL_COLD
SH070_TABLE_GLIMPSE,yes,first glimpse of the table,CAM_ZONE_PATIENT_TO_TABLE,35,distant table through uncertain depth; Oino mid-passage,2200,2350,151,6.292,zone,Destination appears before arrival — ordinary sacred ahead; Zone unexplained.,HERO,SH070_ZONE_PASSAGE,ZONE_REFLECTION
SH070B_ZONE_EMPTY_HOLD,no,,CAM_ZONE_EXIT,28,empty passage after Oino leaves frame,2351,2424,74,3.083,zone,Patient empty space — nature unresolved.,MED,SH070_ZONE_PASSAGE,ZONE_REFLECTION
SH080_WARM_TWO_SHOT,yes,father and Oino in the warm two-shot,CAM_TABLE_TWO_SHOT,40,father and Oino sharing table eyeline,2440,2550,111,4.625,table,Genuine comfort — why she stays; protect performance.,HERO,SH080_TABLE_FATHER,TABLE_WARMTH
SH090_HAND_RESET_CONTROL,yes,Oino's hand on the reset control,CAM_TABLE_OINO_CONTROL,55,Oino's hand on PROP_PlaybackControl,2620,2700,81,3.375,table,"Shadow as merciful grip — dread from control, not horror light.",HERO,SH090_REWIND_ENCOUNTER,TABLE_WARMTH
SH100_SISTER_REFLECTION,yes,sister in the table reflection,CAM_TABLE_REFLECTION,45,"PROP_ReflectiveSurface_Sister — sister, bowls, untouched place",2743,2819,77,3.208,table,"Cost already present — loneliness in progress, not later warning.",HERO,SH100_SISTER_REFLECTION,TABLE_WARMTH
SH110_RELEASE_CONTROL,yes,Oino releasing the control,CAM_TABLE_OINO_CONTROL,50,fingers lifting from control; want still on face,2820,2870,51,2.125,table,Holy-fool hinge — ordinary costly release.,HERO,SH110_RELEASE,TABLE_WARMTH
SH110B_FATHER_LEAVES,no,,CAM_TABLE_FATHER_LEAVING,35,father standing and leaving; Oino listening,2871,2896,26,1.083,table,He finishes and goes — life beyond her desire.,HIGH,SH110_RELEASE,TABLE_WARMTH
SH120_ACCEPTS_BOWL,yes,Oino accepting the bowl,CAM_RETURN_TABLE_HANDS,40,hands receiving bowl beside sister,2910,2960,51,2.125,return,Nourishment accepted; presence without demanding forgiveness.,HERO,SH120_CHANGED_NOTE,TABLE_WARMTH
SH121_SISTER_CHANGES_MELODY,yes,sister changing the melody,CAM_RETURN_SISTER_RHYTHM,50,sister's tapping hand / face — her own rhythm,2961,3020,60,2.5,return,"Real creative contribution — living variation, not symbolic child.",HERO,SH120_CHANGED_NOTE,TABLE_WARMTH
